|Letter Name|Count All|Count Uppercase|Percents
0|N|15|15|3.061224489795918
1|e|51|0|10.408163265306122
2|w|19|0|3.877551020408163
3|s|66|0|13.46938775510204
4|d|57|0|11.63265306122449
5|o|28|0|5.714285714285714
6|m|12|0|2.4489795918367347
7|t|40|0|8.16326530612245
8|x|8|0|1.6326530612244898
9|n|11|0|2.2448979591836733
10|c|11|0|2.2448979591836733
11|i|15|0|3.061224489795918
12|y|9|0|1.836734693877551
13|F|2|2|0.40816326530612246
14|a|19|0|3.877551020408163
15|v|10|0|2.0408163265306123
16|r|9|0|1.836734693877551
17|B|2|2|0.40816326530612246
18|k|14|0|2.857142857142857
19|b|2|0|0.40816326530612246
20|A|10|10|2.0408163265306123
21|u|12|0|2.4489795918367347
22|h|3|0|0.6122448979591837
23|P|4|4|0.8163265306122449
24|l|14|0|2.857142857142857
25|f|33|0|6.73469387755102
26|G|4|4|0.8163265306122449
27|j|6|0|1.2244897959183674
28|J|4|4|0.8163265306122449
